train_acc,train_loss,val_acc,val_loss
0.06296842105263159,4.199201,0.10559999999999999,3.8414404
0.1140842105263158,3.7323613,0.1396,3.577359
0.16290526315789472,3.43049,0.1776,3.3716953
0.19633684210526314,3.222644,0.22719999999999999,3.1245751
0.22366315789473687,3.0891647,0.23200000000000004,3.0334136
0.24202105263157897,2.9941154,0.266,2.860892
0.2596,2.9109085,0.27440000000000003,2.786628
0.2693263157894737,2.8477738,0.2944,2.6941514
0.28014736842105264,2.792497,0.3024,2.7034113
0.2926736842105264,2.7417245,0.3272,2.5904279
0.2982105263157895,2.7077155,0.33320000000000005,2.5368226
0.3042105263157895,2.6767578,0.3248,2.5807028
0.31166315789473686,2.6394567,0.344,2.5316367
0.31722105263157896,2.61188,0.35559999999999997,2.4315817
0.3236210526315789,2.5913687,0.36639999999999995,2.421742
0.3306105263157895,2.5584323,0.3696,2.4060984
0.33319999999999994,2.5369492,0.34759999999999996,2.496312
0.3378105263157895,2.523223,0.36719999999999997,2.4165072
0.34084210526315784,2.5029175,0.342,2.5453048
0.34324210526315796,2.493451,0.3732,2.401144
0.3464421052631579,2.4723916,0.3863999999999999,2.3301597
0.35,2.4565647,0.39239999999999997,2.3086588
0.3507789473684211,2.4541142,0.39239999999999997,2.3005517
0.35541052631578945,2.437011,0.3932,2.2787545
0.358,2.4193442,0.37400000000000005,2.4224937
0.3607789473684211,2.4083624,0.40120000000000006,2.2271817
0.3632842105263158,2.4052258,0.39879999999999993,2.2550063
0.3650315789473684,2.3874872,0.4032,2.1968498
0.3683789473684211,2.3782666,0.4144,2.181048
0.36665263157894734,2.3738728,0.4052,2.2235405
0.3741473684210527,2.3649569,0.39280000000000004,2.2955983
0.372021052631579,2.3514094,0.41400000000000003,2.2130084
0.37553684210526317,2.3405137,0.4068,2.197104
0.37538947368421055,2.336355,0.4092,2.1906998
0.3775789473684211,2.3309205,0.41759999999999997,2.1685517
0.37920000000000004,2.3200421,0.4216,2.1611347
0.3810105263157895,2.3165395,0.4236,2.1164374
0.38448421052631576,2.305629,0.42480000000000007,2.1400368
0.38597894736842103,2.2990818,0.42800000000000005,2.1603868
0.3828,2.2970138,0.42839999999999995,2.0977
0.38612631578947365,2.2918835,0.428,2.1511853
0.38646315789473684,2.2848966,0.41759999999999997,2.1352558
0.39004210526315786,2.271371,0.4204,2.1066062
0.3934105263157895,2.2722034,0.41359999999999997,2.1624174
0.39027368421052633,2.2685022,0.4428,2.0649962
0.3935578947368421,2.2570956,0.43560000000000004,2.1018736
0.3930736842105263,2.2586777,0.4272000000000001,2.1283839
0.3958947368421053,2.2504447,0.4476,2.065545
0.397178947368421,2.2465303,0.442,2.1096041
0.39496842105263164,2.2410944,0.44559999999999994,2.0498333
0.39993684210526315,2.2359831,0.44,2.0979314
0.3983578947368422,2.232019,0.4452,2.0526218
0.39858947368421055,2.2264557,0.4484,2.0348213
0.4034736842105263,2.2214937,0.4548,2.0243995
0.40088421052631584,2.2242656,0.44719999999999993,2.026301
0.4053473684210527,2.208381,0.4524,2.0288029
0.40336842105263165,2.2080436,0.45319999999999994,2.0048213
0.40650526315789476,2.2088463,0.4524,2.0026052
0.40477894736842107,2.2027879,0.45080000000000003,2.0412467
0.4039578947368422,2.198162,0.4488,2.0269723
0.4090947368421053,2.1943486,0.4436,2.0163734
0.4082526315789474,2.1952064,0.45439999999999997,2.0043907
0.4069684210526316,2.1889255,0.45760000000000006,2.01511
0.40890526315789477,2.1861112,0.45160000000000006,2.0159667
0.41237894736842107,2.1737735,0.45520000000000005,2.0150676
0.4115157894736843,2.1825447,0.4508,2.0095704
0.4110526315789474,2.1718462,0.45720000000000005,1.98332
0.4136631578947369,2.1657674,0.46399999999999997,1.9773816
0.41284210526315795,2.1658146,0.4572,1.9908274
0.4144842105263158,2.163488,0.4632,1.9673202
0.4159578947368422,2.1623695,0.46279999999999993,1.9877315
0.41850526315789477,2.1535153,0.4568,1.964016
0.41437894736842107,2.1623333,0.462,1.9702325
0.4165684210526316,2.148487,0.4648,1.9626864
0.41642105263157897,2.1536767,0.4640000000000001,1.9717658
0.4178105263157896,2.1477196,0.4592,1.9602818
0.4181894736842105,2.151911,0.4628,1.9625984
0.4207789473684211,2.1448271,0.46159999999999995,1.9519829
0.41936842105263156,2.1368897,0.4636,1.9649951
0.42058947368421057,2.1335936,0.46199999999999997,1.9687321
0.4198947368421053,2.1391761,0.46199999999999997,1.965651
0.42513684210526315,2.1251905,0.46319999999999995,1.961287
0.42193684210526317,2.1335833,0.46559999999999996,1.9567719
0.4179578947368421,2.1389415,0.45959999999999995,1.9614172
0.4216210526315789,2.128171,0.4628,1.9660562
0.42332631578947366,2.1259298,0.46759999999999996,1.9531403
0.42277894736842103,2.1266968,0.4628,1.9527714
0.42212631578947374,2.1306334,0.47,1.9383582
0.4208631578947369,2.1360652,0.4692,1.9436449
0.4254315789473684,2.1309354,0.47240000000000004,1.9526767
0.42595789473684215,2.1246943,0.46519999999999995,1.9551586
0.4250736842105264,2.1273465,0.4664,1.9549575
0.4203157894736842,2.1302865,0.4648,1.9441257
0.4271157894736842,2.11655,0.4663999999999999,1.9485974
0.4216210526315789,2.1205766,0.4644,1.9543676
0.42290526315789473,2.1215146,0.4648,1.9532553
0.4250526315789473,2.1208856,0.466,1.954293
0.42056842105263154,2.1247425,0.4644,1.9511603
0.42469473684210524,2.120863,0.4675999999999999,1.9503728
0.4270105263157895,2.1211963,0.4656,1.9467942
